Data;Produção Total de Combustíveis Fósseis;Produção Total de energia nuclear;Produção Total de Energia Renovável;Produção Total de Energia Primária;Consumo total de combustíveis fósseis;Consumo total de energia nuclear;Consumo total de energia renovável;Consumo Total de Energia Primária;
1993;4.811.324;0.557848;0.518768;588.794;6.929.841;0.557848;0.519576;8.017.696;
1994;5.030.171;0.632314;0.512713;6.175.198;6.846.502;0.632314;0.512938;8.004.003;
1995;479.371;0.628781;0.585646;6.008.138;7.187.681;0.628781;0.586128;8.410.372;
1996;4.886.476;0.600336;0.598136;6.084.948;7.198.654;0.600336;0.597221;8.404.844;
1997;5.038.524;0.581961;0.54177;6.162.255;7.472.125;0.581961;0.542307;8.606.328;
1998;4.938.343;0.655652;0.553643;6.147.638;7.254.417;0.655652;0.554219;8.468.996;
1999;4.906.244;0.706037;0.515281;6.127.562;743.838;0.706037;0.516689;8.670.985;
2000;4.683.747;0.65991;0.477789;5.821.446;8.058.291;0.65991;0.479073;9.198.448;
2001;4.809.547;0.704181;0.449333;5.963.061;70.983;0.704181;0.448485;8.259.892;
2002;4.774.614;0.719511;0.488703;5.982.828;7.622.747;0.719511;0.488107;8.832.163;
2003;4.742.188;0.715071;0.524532;5.981.791;7.684.241;0.715071;0.526226;8.926.281;
2004;4.759.239;0.715534;0.557149;6.031.922;7.876.444;0.715534;0.558847;9.156.182;
2005;4.528.238;0.748627;0.527174;5.804.039;791.297;0.748627;0.529713;9.198.389;
2006;4.744.882;0.73556;0.542022;6.022.463;7.501.847;0.73556;0.548344;8.793.294;
2007;4.772.485;0.755027;0.547833;6.075.344;7.770.058;0.755027;0.54982;9.081.813;
2008;4.920.737;0.762278;0.614791;6.297.806;740.631;0.762278;0.618066;8.793.599;
2009;4.695.395;0.739558;0.692242;6.127.195;7.394.065;0.739558;0.686335;8.831.041;
2010;5.062.813;0.770138;0.739158;6.572.109;770.799;0.770138;0.73356;9.220.542;
2011;5.347.022;0.751706;0.780498;6.879.226;7.034.714;0.751706;0.770705;8.568.678;
2012;5.273.745;0.718688;0.769914;6.762.347;6.886.605;0.718688;0.768019;8.384.662;
2013;5.430.086;0.744947;0.80671;6.981.743;7.496.801;0.744947;0.806667;9.062.807;
2014;6.168.426;0.767299;0.839005;777.473;7.180.598;0.767299;0.83074;8.793.278;
2015;5.669.807;0.728229;0.885702;7.283.738;6.741.673;0.728229;0.880423;8.367.728;
2016;5.506.708;0.749517;0.946715;720.294;7.37;0.749517;0.938113;9.074.258;
2017;6.039.159;0.770824;0.92767;7.737.653;7.493.366;0.770824;0.909322;9.187.347;
2018;6.776.997;0.749177;0.952043;8.478.216;7.336.542;0.749177;0.931479;902.803;
2019;7.048.279;0.763034;0.951898;8.763.212;7.236.205;0.763034;0.935226;8.948.239;
2020;6.393.932;0.729872;0.984504;8.108.308;7.001.264;0.729872;0.968169;8.714.053;
2021;6.816.448;0.737537;1.118.251;8.672.236;6.916.527;0.737537;1.091.346;8.753.643;
2022;6.875.368;0.647029;1.097.519;8.619.915;6.553.431;0.647029;1.076.469;8.285.891;
